"alias","index","complete_gene_name","gene_symbol"
"pk18",577,"translocator protein","TSPO"
"TSPO",577,"translocator protein","TSPO"
"239AB",617,"metallophosphoesterase domain containing 1","MPPED1"
"C22orf1",617,"metallophosphoesterase domain containing 1","MPPED1"
"FAM1A",617,"metallophosphoesterase domain containing 1","MPPED1"
"MPPED1",617,"metallophosphoesterase domain containing 1","MPPED1"
"CHETK",928,"choline kinase beta","CHKB"
"CHKL",928,"choline kinase beta","CHKB"
"CK",928,"choline kinase beta","CHKB"
"CKB",928,"choline kinase beta","CHKB"
"CKEKB",928,"choline kinase beta","CHKB"
"EK",928,"choline kinase beta","CHKB"
"EKB",928,"choline kinase beta","CHKB"
"MDCMC",928,"choline kinase beta","CHKB"
"CHKB",928,"choline kinase beta","CHKB"
"HEL-S-98n",1066,"catechol-O-methyltransferase","COMT"
"COMT",1066,"catechol-O-methyltransferase","COMT"
"COX5BL7",1081,"cytochrome c oxidase subunit 5B pseudogene 7","COX5BP7"
"COX5BP7",1081,"cytochrome c oxidase subunit 5B pseudogene 7","COX5BP7"
"COX6BP-3",1087,"cytochrome c oxidase subunit 6B1 pseudogene 3","COX6B1P3"
"COX6BP3",1087,"cytochrome c oxidase subunit 6B1 pseudogene 3","COX6B1P3"
"COX6B1P3",1087,"cytochrome c oxidase subunit 6B1 pseudogene 3","COX6B1P3"
"CPT1-M",1115,"carnitine palmitoyltransferase 1B","CPT1B"
"CPT1M",1115,"carnitine palmitoyltransferase 1B","CPT1B"
"CPTI",1115,"carnitine palmitoyltransferase 1B","CPT1B"
"CPTI-M",1115,"carnitine palmitoyltransferase 1B","CPT1B"
"M-CPT1",1115,"carnitine palmitoyltransferase 1B","CPT1B"
"MCCPT1",1115,"carnitine palmitoyltransferase 1B","CPT1B"
"MCPT1",1115,"carnitine palmitoyltransferase 1B","CPT1B"
"CPT1B",1115,"carnitine palmitoyltransferase 1B","CPT1B"
"CRKL",1136,"CRK like proto-oncogene, adaptor protein","CRKL"
"CTRCT23",1147,"crystallin beta A4","CRYBA4"
"CYRBA4",1147,"crystallin beta A4","CRYBA4"
"MCOPCT4",1147,"crystallin beta A4","CRYBA4"
"CRYBA4",1147,"crystallin beta A4","CRYBA4"
"CATCN3",1148,"crystallin beta B1","CRYBB1"
"CTRCT17",1148,"crystallin beta B1","CRYBB1"
"CRYBB1",1148,"crystallin beta B1","CRYBB1"
"CCA2",1149,"crystallin beta B2","CRYBB2"
"CRYB2",1149,"crystallin beta B2","CRYBB2"
"CRYB2A",1149,"crystallin beta B2","CRYBB2"
"CTRCT3",1149,"crystallin beta B2","CRYBB2"
"D22S665",1149,"crystallin beta B2","CRYBB2"
"CRYBB2",1149,"crystallin beta B2","CRYBB2"
"CRYB2B",1150,"crystallin beta B2 pseudogene 1","CRYBB2P1"
"CRYBB2P1",1150,"crystallin beta B2 pseudogene 1","CRYBB2P1"
"CATCN2",1151,"crystallin beta B3","CRYBB3"
"CRYB3",1151,"crystallin beta B3","CRYBB3"
"CTRCT22",1151,"crystallin beta B3","CRYBB3"
"CRYBB3",1151,"crystallin beta B3","CRYBB3"
"CSBP",1163,"mitogen-activated protein kinase 14","MAPK14"
"CSBP1",1163,"mitogen-activated protein kinase 14","MAPK14"
"CSBP2",1163,"mitogen-activated protein kinase 14","MAPK14"
"CSPB1",1163,"mitogen-activated protein kinase 14","MAPK14"
"EXIP",1163,"mitogen-activated protein kinase 14","MAPK14"
"Mxi2",1163,"mitogen-activated protein kinase 14","MAPK14"
"PRKM14",1163,"mitogen-activated protein kinase 14","MAPK14"
"PRKM15",1163,"mitogen-activated protein kinase 14","MAPK14"
"RK",1163,"mitogen-activated protein kinase 14","MAPK14"
"SAPK2A",1163,"mitogen-activated protein kinase 14","MAPK14"
"p38",1163,"mitogen-activated protein kinase 14","MAPK14"
"p38ALPHA",1163,"mitogen-activated protein kinase 14","MAPK14"
"MAPK14",1163,"mitogen-activated protein kinase 14","MAPK14"
"CD131",1169,"colony stimulating factor 2 receptor subunit beta","CSF2RB"
"CDw131",1169,"colony stimulating factor 2 receptor subunit beta","CSF2RB"
"IL3RB",1169,"colony stimulating factor 2 receptor subunit beta","CSF2RB"
"IL5RB",1169,"colony stimulating factor 2 receptor subunit beta","CSF2RB"
"SMDP5",1169,"colony stimulating factor 2 receptor subunit beta","CSF2RB"
"betaGMR",1169,"colony stimulating factor 2 receptor subunit beta","CSF2RB"
"CSF2RB",1169,"colony stimulating factor 2 receptor subunit beta","CSF2RB"
"CKIe",1181,"casein kinase 1 epsilon","CSNK1E"
"CKIepsilon",1181,"casein kinase 1 epsilon","CSNK1E"
"HCKIE",1181,"casein kinase 1 epsilon","CSNK1E"
"CSNK1E",1181,"casein kinase 1 epsilon","CSNK1E"
"DIC",1193,"solute carrier family 25 member 10","SLC25A10"
"MTDPS19",1193,"solute carrier family 25 member 10","SLC25A10"
"SLC25A10",1193,"solute carrier family 25 member 10","SLC25A10"
"CYP2D",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"CYP2D6",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"CYP2D7AP",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"CYP2D7P",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"CYP2D7P1",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"CYP2D@",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"P450C2D",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"P450DB1",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"RNA40057",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"CYP2D7",1272,"cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene)","CYP2D7"
"CPD6",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYP2D",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYP2D7AP",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYP2D7BP",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYP2D7P2",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYP2D8P2",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYP2DL1",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYPIID6",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"P450-DB1",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"P450C2D",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"P450DB1",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYP2D6",1273,"cytochrome P450 family 2 subfamily D member 6","CYP2D6"
"CYP2D7BP",1274,"cytochrome P450, subfamily IID (debrisoquine, sparteine, etc., -metabolising), polypeptide 7b (pseudogene)","CYP2D7BP"
"CYP2D8P1",1275,"ccytochrome P450 family 2 subfamily D member 8, pseudogene","CYP2D8P"
"CYP2DP1",1275,"ccytochrome P450 family 2 subfamily D member 8, pseudogene","CYP2D8P"
"CYP2D8P",1275,"ccytochrome P450 family 2 subfamily D member 8, pseudogene","CYP2D8P"
"D-DT",1345,"D-dopachrome tautomerase","DDT"
"DDCT",1345,"D-dopachrome tautomerase","DDT"
"MIF-2",1345,"D-dopachrome tautomerase","DDT"
"MIF2",1345,"D-dopachrome tautomerase","DDT"
"DDT",1345,"D-dopachrome tautomerase","DDT"
"B5R",1388,"cytochrome b5 reductase 3","CYB5R3"
"DIA1",1388,"cytochrome b5 reductase 3","CYB5R3"
"CYB5R3",1388,"cytochrome b5 reductase 3","CYB5R3"
"ECGF",1522,"thymidine phosphorylase","TYMP"
"ECGF1",1522,"thymidine phosphorylase","TYMP"
"MEDPS1",1522,"thymidine phosphorylase","TYMP"
"MNGIE",1522,"thymidine phosphorylase","TYMP"
"MTDPS1",1522,"thymidine phosphorylase","TYMP"
"PDECGF",1522,"thymidine phosphorylase","TYMP"
"TP",1522,"thymidine phosphorylase","TYMP"
"hPD-ECGF",1522,"thymidine phosphorylase","TYMP"
"TYMP",1522,"thymidine phosphorylase","TYMP"
"KAT3B",1630,"E1A binding protein p300","EP300"
"MKHK2",1630,"E1A binding protein p300","EP300"
"RSTS2",1630,"E1A binding protein p300","EP300"
"p300",1630,"E1A binding protein p300","EP300"
"EP300",1630,"E1A binding protein p300","EP300"
"EWS",1705,"EWS RNA binding protein 1","EWSR1"
"EWS-FLI1",1705,"EWS RNA binding protein 1","EWSR1"
"bK984G1.4",1705,"EWS RNA binding protein 1","EWSR1"
"EWSR1",1705,"EWS RNA binding protein 1","EWSR1"
"FBLN",1755,"fibulin 1","FBLN1"
"FIBL1",1755,"fibulin 1","FBLN1"
"FBLN1",1755,"fibulin 1","FBLN1"
"CTC75",2054,"X-ray repair cross complementing 6","XRCC6"
"CTCBF",2054,"X-ray repair cross complementing 6","XRCC6"
"G22P1",2054,"X-ray repair cross complementing 6","XRCC6"
"KU70",2054,"X-ray repair cross complementing 6","XRCC6"
"ML8",2054,"X-ray repair cross complementing 6","XRCC6"
"TLAA",2054,"X-ray repair cross complementing 6","XRCC6"
"XRCC6",2054,"X-ray repair cross complementing 6","XRCC6"
"CD224",2161,"gamma-glutamyltransferase 1","GGT1"
"D22S672",2161,"gamma-glutamyltransferase 1","GGT1"
"D22S732",2161,"gamma-glutamyltransferase 1","GGT1"
"GGT",2161,"gamma-glutamyltransferase 1","GGT1"
"GGT 1",2161,"gamma-glutamyltransferase 1","GGT1"
"GGTD",2161,"gamma-glutamyltransferase 1","GGT1"
"GTG",2161,"gamma-glutamyltransferase 1","GGT1"
"GGT1",2161,"gamma-glutamyltransferase 1","GGT1"
"GGT3",2162,"gamma-glutamyltransferase 3 pseudogene","GGT3P"
"GGT3P",2162,"gamma-glutamyltransferase 3 pseudogene","GGT3P"
"GGL",2166,"gamma-glutamyltransferase 5","GGT5"
"GGT 5",2166,"gamma-glutamyltransferase 5","GGT5"
"GGT-REL",2166,"gamma-glutamyltransferase 5","GGT5"
"GGTLA1",2166,"gamma-glutamyltransferase 5","GGT5"
"GGT5",2166,"gamma-glutamyltransferase 5","GGT5"
"gz-alpha",2243,"G protein subunit alpha z","GNAZ"
"GNAZ",2243,"G protein subunit alpha z","GNAZ"
"BDPLT1",2270,"glycoprotein Ib platelet subunit beta","GP1BB"
"BS",2270,"glycoprotein Ib platelet subunit beta","GP1BB"
"CD42C",2270,"glycoprotein Ib platelet subunit beta","GP1BB"
"GPIBB",2270,"glycoprotein Ib platelet subunit beta","GP1BB"
"GPIbbeta",2270,"glycoprotein Ib platelet subunit beta","GP1BB"
"GP1BB",2270,"glycoprotein Ib platelet subunit beta","GP1BB"
"GPR24",2301,"melanin concentrating hormone receptor 1","MCHR1"
"MCH-1R",2301,"melanin concentrating hormone receptor 1","MCHR1"
"MCH1R",2301,"melanin concentrating hormone receptor 1","MCHR1"
"SLC-1",2301,"melanin concentrating hormone receptor 1","MCHR1"
"SLC1",2301,"melanin concentrating hormone receptor 1","MCHR1"
"MCHR1",2301,"melanin concentrating hormone receptor 1","MCHR1"
"GSCL",2376,"goosecoid homeobox 2","GSC2"
"GSC2",2376,"goosecoid homeobox 2","GSC2"
"GSTT2",2397,"glutathione S-transferase theta 2 (gene/pseudogene)","GSTT2"
"D22S673",2487,"serpin family D member 1","SERPIND1"
"HC2",2487,"serpin family D member 1","SERPIND1"
"HCF2",2487,"serpin family D member 1","SERPIND1"
"HCII",2487,"serpin family D member 1","SERPIND1"
"HLS2",2487,"serpin family D member 1","SERPIND1"
"LS2",2487,"serpin family D member 1","SERPIND1"
"THPH10",2487,"serpin family D member 1","SERPIND1"
"SERPIND1",2487,"serpin family D member 1","SERPIND1"
"HMOX1D",2578,"heme oxygenase 1","HMOX1"
"HO-1",2578,"heme oxygenase 1","HMOX1"
"HSP32",2578,"heme oxygenase 1","HMOX1"
"bK286B10",2578,"heme oxygenase 1","HMOX1"
"HMOX1",2578,"heme oxygenase 1","HMOX1"
"IGKV3OR222",2852,"immunoglobulin kappa variable 3/OR22-2 (pseudogene)","IGKV3OR22-2"
"IGKVP3",2852,"immunoglobulin kappa variable 3/OR22-2 (pseudogene)","IGKV3OR22-2"
"IGKV3OR22-2",2852,"immunoglobulin kappa variable 3/OR22-2 (pseudogene)","IGKV3OR22-2"
"IGKV2OR223",2853,"immunoglobulin kappa variable 2/OR22-3 (pseudogene)","IGKV2OR22-3"
"IGKVP4",2853,"immunoglobulin kappa variable 2/OR22-3 (pseudogene)","IGKV2OR22-3"
"IGKV2OR22-3",2853,"immunoglobulin kappa variable 2/OR22-3 (pseudogene)","IGKV2OR22-3"
"IGKV1OR221",2854,"immunoglobulin kappa variable 1/OR22-1 (pseudogene)","IGKV1OR22-1"
"IGKVP5",2854,"immunoglobulin kappa variable 1/OR22-1 (pseudogene)","IGKV1OR22-1"
"IGKV1OR22-1",2854,"immunoglobulin kappa variable 1/OR22-1 (pseudogene)","IGKV1OR22-1"
"IGLC",2859,"immunoglobulin lambda constant 1","IGLC1"
"IGLC1",2859,"immunoglobulin lambda constant 1","IGLC1"
"IGLC",2860,"immunoglobulin lambda constant 2","IGLC2"
"IGLC2",2860,"immunoglobulin lambda constant 2","IGLC2"
"IGLC",2861,"immunoglobulin lambda constant 3 (Kern-Oz+ marker)","IGLC3"
"IGLC3",2861,"immunoglobulin lambda constant 3 (Kern-Oz+ marker)","IGLC3"
"IGLC",2862,"immunoglobulin lambda constant 4 (pseudogene)","IGLC4"
"IGLC4",2862,"immunoglobulin lambda constant 4 (pseudogene)","IGLC4"
"IGLC",2863,"immunoglobulin lambda constant 5 (pseudogene)","IGLC5"
"IGLC5",2863,"immunoglobulin lambda constant 5 (pseudogene)","IGLC5"
"IGLC",2864,"immunoglobulin lambda constant 6","IGLC6"
"IGLC6",2864,"immunoglobulin lambda constant 6","IGLC6"
"14.1",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"AGM2",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"CD179b",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"IGL1",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"IGL5",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"IGLJ14.1",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"IGLL",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"IGO",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"IGVPB",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"VPREB2",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"IGLL1",2865,"immunoglobulin lambda like polypeptide 1","IGLL1"
"CD122",2880,"interleukin 2 receptor subunit beta","IL2RB"
"IL15RB",2880,"interleukin 2 receptor subunit beta","IL2RB"
"IMD63",2880,"interleukin 2 receptor subunit beta","IL2RB"
"P70-75",2880,"interleukin 2 receptor subunit beta","IL2RB"
"IL2RB",2880,"interleukin 2 receptor subunit beta","IL2RB"
"HIR",3045,"potassium inwardly rectifying channel subfamily J member 4","KCNJ4"
"HIRK2",3045,"potassium inwardly rectifying channel subfamily J member 4","KCNJ4"
"HRK1",3045,"potassium inwardly rectifying channel subfamily J member 4","KCNJ4"
"IRK-3",3045,"potassium inwardly rectifying channel subfamily J member 4","KCNJ4"
"IRK3",3045,"potassium inwardly rectifying channel subfamily J member 4","KCNJ4"
"Kir2.3",3045,"potassium inwardly rectifying channel subfamily J member 4","KCNJ4"
"KCNJ4",3045,"potassium inwardly rectifying channel subfamily J member 4","KCNJ4"
"GAL1",3198,"galectin 1","LGALS1"
"GBP",3198,"galectin 1","LGALS1"
"LGALS1",3198,"galectin 1","LGALS1"
"HL14",3199,"galectin 2","LGALS2"
"LGALS2",3199,"galectin 2","LGALS2"
"CDF",3209,"LIF interleukin 6 family cytokine","LIF"
"DIA",3209,"LIF interleukin 6 family cytokine","LIF"
"HILDA",3209,"LIF interleukin 6 family cytokine","LIF"
"MLPLI",3209,"LIF interleukin 6 family cytokine","LIF"
"LIF",3209,"LIF interleukin 6 family cytokine","LIF"
"CD118",3210,"LIF receptor subunit alpha","LIFR"
"LIF-R",3210,"LIF receptor subunit alpha","LIFR"
"SJS2",3210,"LIF receptor subunit alpha","LIFR"
"STWS",3210,"LIF receptor subunit alpha","LIFR"
"SWS",3210,"LIF receptor subunit alpha","LIFR"
"LIFR",3210,"LIF receptor subunit alpha","LIFR"
"LIMK2",3217,"LIM domain kinase 2","LIMK2"
"PVALB",3351,"myoglobin","MB"
"MB",3351,"myoglobin","MB"
"CXXC3",3352,"methyl-CpG binding domain protein 1","MBD1"
"PCM1",3352,"methyl-CpG binding domain protein 1","MBD1"
"RFT",3352,"methyl-CpG binding domain protein 1","MBD1"
"MBD1",3352,"methyl-CpG binding domain protein 1","MBD1"
"COLEC1",3353,"mannose binding lectin 2","MBL2"
"HSMBPC",3353,"mannose binding lectin 2","MBL2"
"MBL",3353,"mannose binding lectin 2","MBL2"
"MBL2D",3353,"mannose binding lectin 2","MBL2"
"MBP",3353,"mannose binding lectin 2","MBL2"
"MBP-C",3353,"mannose binding lectin 2","MBL2"
"MBP1",3353,"mannose binding lectin 2","MBL2"
"MBPD",3353,"mannose binding lectin 2","MBL2"
"MBL2",3353,"mannose binding lectin 2","MBL2"
"EXP",3354,"muscleblind like splicing regulator 1","MBNL1"
"MBNL",3354,"muscleblind like splicing regulator 1","MBNL1"
"MBNL1",3354,"muscleblind like splicing regulator 1","MBNL1"
"MBP",3355,"myelin basic protein","MBP"
"MBS",3356,"Moebius syndrome 1","MBS1"
"MBS1",3356,"Moebius syndrome 1","MBS1"
"CDC46",3371,"minichromosome maintenance complex component 5","MCM5"
"MGORS8",3371,"minichromosome maintenance complex component 5","MCM5"
"P1-CDC46",3371,"minichromosome maintenance complex component 5","MCM5"
"MCM5",3371,"minichromosome maintenance complex component 5","MCM5"
"MFNG",3418,"MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase","MFNG"
"GNT-III",3422,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase","MGAT3"
"GNT3",3422,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase","MGAT3"
"MGAT3",3422,"beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase","MGAT3"
"GIF",3441,"macrophage migration inhibitory factor","MIF"
"GLIF",3441,"macrophage migration inhibitory factor","MIF"
"MMIF",3441,"macrophage migration inhibitory factor","MIF"
"MIF",3441,"macrophage migration inhibitory factor","MIF"
"SL-3",3473,"matrix metallopeptidase 11","MMP11"
"ST3",3473,"matrix metallopeptidase 11","MMP11"
"STMY3",3473,"matrix metallopeptidase 11","MMP11"
"MMP11",3473,"matrix metallopeptidase 11","MMP11"
"CEBALID",3482,"MN1 proto-oncogene, transcriptional regulator","MN1"
"MGCR",3482,"MN1 proto-oncogene, transcriptional regulator","MN1"
"MGCR1",3482,"MN1 proto-oncogene, transcriptional regulator","MN1"
"MGCR1-PEN",3482,"MN1 proto-oncogene, transcriptional regulator","MN1"
"dJ353E16.2",3482,"MN1 proto-oncogene, transcriptional regulator","MN1"
"MN1",3482,"MN1 proto-oncogene, transcriptional regulator","MN1"
"MST",3500,"mercaptopyruvate sulfurtransferase","MPST"
"TST2",3500,"mercaptopyruvate sulfurtransferase","MPST"
"TUM1",3500,"mercaptopyruvate sulfurtransferase","MPST"
"MPST",3500,"mercaptopyruvate sulfurtransferase","MPST"
"BDPLT6",3641,"myosin heavy chain 9","MYH9"
"DFNA17",3641,"myosin heavy chain 9","MYH9"
"EPSTS",3641,"myosin heavy chain 9","MYH9"
"FTNS",3641,"myosin heavy chain 9","MYH9"
"MATINS",3641,"myosin heavy chain 9","MYH9"
"MHA",3641,"myosin heavy chain 9","MYH9"
"NMHC-II-A",3641,"myosin heavy chain 9","MYH9"
"NMMHC-IIA",3641,"myosin heavy chain 9","MYH9"
"NMMHCA",3641,"myosin heavy chain 9","MYH9"
"MYH9",3641,"myosin heavy chain 9","MYH9"
"D22S674",3674,"alpha-N-acetylgalactosaminidase","NAGA"
"GALB",3674,"alpha-N-acetylgalactosaminidase","NAGA"
"NAGA",3674,"alpha-N-acetylgalactosaminidase","NAGA"
"CGD3",3692,"neutrophil cytosolic factor 4","NCF4"
"NCF",3692,"neutrophil cytosolic factor 4","NCF4"
"P40PHOX",3692,"neutrophil cytosolic factor 4","NCF4"
"SH3PXD4",3692,"neutrophil cytosolic factor 4","NCF4"
"NCF4",3692,"neutrophil cytosolic factor 4","NCF4"
"B14",3703,"NADH:ubiquinone oxidoreductase subunit A6","NDUFA6"
"CI-B14",3703,"NADH:ubiquinone oxidoreductase subunit A6","NDUFA6"
"LYRM6",3703,"NADH:ubiquinone oxidoreductase subunit A6","NDUFA6"
"MC1DN33",3703,"NADH:ubiquinone oxidoreductase subunit A6","NDUFA6"
"NADHB14",3703,"NADH:ubiquinone oxidoreductase subunit A6","NDUFA6"
"NDUFA6",3703,"NADH:ubiquinone oxidoreductase subunit A6","NDUFA6"
"NEDD3",3733,"developmentally regulated GTP binding protein 1","DRG1"
"DRG1",3733,"developmentally regulated GTP binding protein 1","DRG1"
"CMT2CC",3740,"neurofilament heavy chain","NEFH"
"NFH",3740,"neurofilament heavy chain","NEFH"
"NEFH",3740,"neurofilament heavy chain","NEFH"
"SIAL2",3749,"neuraminidase 2","NEU2"
"NEU2",3749,"neuraminidase 2","NEU2"
"ACN",3756,"neurofibromin 2","NF2"
"BANF",3756,"neurofibromin 2","NF2"
"SCH",3756,"neurofibromin 2","NF2"
"merlin-1",3756,"neurofibromin 2","NF2"
"NF2",3756,"neurofibromin 2","NF2"
"15.5K",3785,"small nuclear ribonucleoprotein 13","SNU13"
"FA-1",3785,"small nuclear ribonucleoprotein 13","SNU13"
"FA1",3785,"small nuclear ribonucleoprotein 13","SNU13"
"NHP2L1",3785,"small nuclear ribonucleoprotein 13","SNU13"
"NHPX",3785,"small nuclear ribonucleoprotein 13","SNU13"
"OTK27",3785,"small nuclear ribonucleoprotein 13","SNU13"
"SNRNP15-5",3785,"small nuclear ribonucleoprotein 13","SNU13"
"SPAG12",3785,"small nuclear ribonucleoprotein 13","SNU13"
"SSFA1",3785,"small nuclear ribonucleoprotein 13","SNU13"
"SNU13",3785,"small nuclear ribonucleoprotein 13","SNU13"
"OSM",3942,"oncostatin M","OSM"
"IBGC5",4059,"platelet derived growth factor subunit B","PDGFB"
"PDGF-2",4059,"platelet derived growth factor subunit B","PDGFB"
"PDGF2",4059,"platelet derived growth factor subunit B","PDGFB"
"SIS",4059,"platelet derived growth factor subunit B","PDGFB"
"SSV",4059,"platelet derived growth factor subunit B","PDGFB"
"c-sis",4059,"platelet derived growth factor subunit B","PDGFB"
"PDGFB",4059,"platelet derived growth factor subunit B","PDGFB"
"PI4K-ALPHA",4180,"phosphatidylinositol 4-kinase alpha","PI4KA"
"PIK4CA",4180,"phosphatidylinositol 4-kinase alpha","PI4KA"
